Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Class
0.98,514.5,294,110.25,7,3,0.1,4,24.23,25.72,C
0.98,514.5,294,110.25,7,4,0.1,4,24.04,26.18,C
0.86,588,294,147,7,3,0.1,4,25.37,31.76,C
0.86,588,294,147,7,5,0.1,4,27.03,25.81,C
0.82,612.5,318.5,147,7,2,0.1,4,23.8,24.61,C
0.82,612.5,318.5,147,7,4,0.1,4,23.59,27.57,C
0.82,612.5,318.5,147,7,5,0.1,4,24.24,25.16,C
0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66,13.67,B
0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53,13.79,B
0.69,735,294,220.5,3.5,4,0.1,4,11.07,14.42,B
0.64,784,343,220.5,3.5,4,0.1,4,15.32,19.42,B
0.64,784,343,220.5,3.5,5,0.1,4,15.16,19.48,B
0.62,808.5,367.5,220.5,3.5,5,0.1,4,13,14.47,B
0.98,514.5,294,110.25,7,2,0.1,5,24.35,25.64,C
0.98,514.5,294,110.25,7,4,0.1,5,24.03,25.88,C
0.9,563.5,318.5,122.5,7,3,0.1,5,29.08,29.52,C
0.86,588,294,147,7,3,0.1,5,26.45,27.33,C
0.86,588,294,147,7,4,0.1,5,25.36,32.04,C
0.86,588,294,147,7,5,0.1,5,26.45,31.28,C
0.76,661.5,416.5,122.5,7,3,0.1,5,33.21,34.35,D
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34,14.81,B
0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22,14.65,B
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99,B
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71,D
0.86,588,294,147,7,5,0.25,1,28.66,34.73,C
0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25,C
0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39,C
0.74,686,245,220.5,3.5,3,0.25,1,12.5,15.5,B
0.74,686,245,220.5,3.5,5,0.25,1,12.45,15.5,B
0.69,735,294,220.5,3.5,5,0.25,1,12.72,15.78,B
0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17,16.39,B
0.64,784,343,220.5,3.5,2,0.25,1,17.5,21.13,B
0.64,784,343,220.5,3.5,3,0.25,1,17.35,21.19,B
0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33,14.91,B
0.69,735,294,220.5,3.5,3,0.25,2,12.87,15.85,B
0.69,735,294,220.5,3.5,5,0.25,2,12.95,15.99,B
0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93,15.85,B
0.64,784,343,220.5,3.5,3,0.25,2,16.84,20.56,B
0.64,784,343,220.5,3.5,5,0.25,2,17.11,20.43,B
0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6,15.14,B
0.9,563.5,318.5,122.5,7,2,0.25,3,31.63,36.35,D
0.82,612.5,318.5,147,7,5,0.25,3,25.17,26.41,C
0.76,661.5,416.5,122.5,7,2,0.25,3,35.99,36.07,D
0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.19,14.94,B
0.69,735,294,220.5,3.5,3,0.25,3,12.46,14.38,B
0.69,735,294,220.5,3.5,4,0.25,3,12.31,15.44,B
0.69,735,294,220.5,3.5,5,0.25,3,12.12,15.17,B
0.66,759.5,318.5,220.5,3.5,5,0.25,3,12.84,16.26,B
0.64,784,343,220.5,3.5,4,0.25,3,16.66,20.46,B
0.86,588,294,147,7,4,0.25,4,29.08,33.93,C
0.86,588,294,147,7,5,0.25,4,29.88,28.31,C
0.82,612.5,318.5,147,7,4,0.25,4,25.43,28.76,C
0.79,637,343,147,7,3,0.25,4,38.84,45.48,D
0.76,661.5,416.5,122.5,7,4,0.25,4,36.81,37.05,D
0.71,710.5,269.5,220.5,3.5,4,0.25,4,12.17,15.2,B
0.69,735,294,220.5,3.5,2,0.25,4,12.91,15.37,B
0.66,759.5,318.5,220.5,3.5,2,0.25,4,12.95,15.95,B
0.98,514.5,294,110.25,7,2,0.25,5,28.69,29.53,C
0.86,588,294,147,7,4,0.25,5,28.31,34.15,C
0.86,588,294,147,7,5,0.25,5,29.39,33.47,C
0.82,612.5,318.5,147,7,5,0.25,5,25.49,28.14,C
0.79,637,343,147,7,2,0.25,5,39.89,37.54,D
0.79,637,343,147,7,4,0.25,5,39.01,45.28,D
0.71,710.5,269.5,220.5,3.5,4,0.25,5,12.25,15.23,B
0.71,710.5,269.5,220.5,3.5,5,0.25,5,12.27,14.97,B
0.69,735,294,220.5,3.5,3,0.25,5,12.12,14.97,B
0.66,759.5,318.5,220.5,3.5,2,0.25,5,12.93,15.83,B
0.66,759.5,318.5,220.5,3.5,5,0.25,5,13.02,16.06,B
0.64,784,343,220.5,3.5,3,0.25,5,16.86,20.01,B
0.86,588,294,147,7,2,0.4,1,31.89,35.99,D
0.82,612.5,318.5,147,7,4,0.4,1,29.53,28.99,C
0.74,686,245,220.5,3.5,5,0.4,1,14.55,17.25,B
0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.51,17.1,B
0.71,710.5,269.5,220.5,3.5,4,0.4,1,14.5,17.12,B
0.69,735,294,220.5,3.5,3,0.4,1,14.7,17,B
0.64,784,343,220.5,3.5,4,0.4,1,19.48,22.72,B
0.64,784,343,220.5,3.5,5,0.4,1,19.42,22.53,B
0.9,563.5,318.5,122.5,7,4,0.4,2,36.06,34.94,D
0.82,612.5,318.5,147,7,3,0.4,2,29.49,27.93,C
0.76,661.5,416.5,122.5,7,5,0.4,2,40.42,39.7,D
0.74,686,245,220.5,3.5,5,0.4,2,14.5,17.03,B
0.66,759.5,318.5,220.5,3.5,3,0.4,2,15.29,17.89,B
0.98,514.5,294,110.25,7,4,0.4,3,32.23,33.86,D
0.98,514.5,294,110.25,7,5,0.4,3,32.75,34,D
0.86,588,294,147,7,3,0.4,3,32.12,34.7,D
0.86,588,294,147,7,4,0.4,3,32.05,30.11,D
0.82,612.5,318.5,147,7,5,0.4,3,28.91,29.64,C
0.69,735,294,220.5,3.5,3,0.4,3,14.56,15.84,B
0.66,759.5,318.5,220.5,3.5,5,0.4,3,14.9,18.22,B
0.98,514.5,294,110.25,7,2,0.4,4,32.85,32.95,D
0.9,563.5,318.5,122.5,7,2,0.4,4,36.45,33.98,D
0.86,588,294,147,7,2,0.4,4,32.38,31.53,D
0.86,588,294,147,7,5,0.4,4,32.75,31,D
0.82,612.5,318.5,147,7,3,0.4,4,28.05,32.35,C
0.82,612.5,318.5,147,7,5,0.4,4,29.52,28.43,C
0.69,735,294,220.5,3.5,3,0.4,4,14.62,16.88,B
0.66,759.5,318.5,220.5,3.5,2,0.4,4,15.34,17.86,B
0.64,784,343,220.5,3.5,2,0.4,4,19.06,21.68,B
0.64,784,343,220.5,3.5,4,0.4,4,19,22.25,B
0.76,661.5,416.5,122.5,7,3,0.4,5,39.72,39.8,D
0.76,661.5,416.5,122.5,7,5,0.4,5,39.86,38.18,D
0.66,759.5,318.5,220.5,3.5,4,0.4,5,14.92,17.55,B
0.64,784,343,220.5,3.5,2,0.4,5,17.69,20.82,B
0.64,784,343,220.5,3.5,4,0.4,5,18.16,20.71,B
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9,A
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19,A
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94,A
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17,A
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27,A
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72,A
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29,A
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67,A
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74,A
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05,A
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73,A
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93,A
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4,A
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23,A
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4,A
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14,A
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07,A
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22,A
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08,A
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04,A
0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43,A
0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71,A
0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48,A
0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7,A
0.74,686,245,220.5,3.5,2,0.1,2,10.42,13.39,A
0.74,686,245,220.5,3.5,3,0.1,2,10.46,13.72,A
0.74,686,245,220.5,3.5,4,0.1,2,10.32,13.57,A
0.74,686,245,220.5,3.5,5,0.1,2,10.45,13.79,A
0.74,686,245,220.5,3.5,2,0.1,3,10.39,13.6,A
0.74,686,245,220.5,3.5,3,0.1,3,10.34,13.36,A
0.74,686,245,220.5,3.5,4,0.1,3,10.35,13.65,A
0.74,686,245,220.5,3.5,5,0.1,3,10.38,13.49,A
0.74,686,245,220.5,3.5,2,0.1,4,10.08,13.2,A
0.74,686,245,220.5,3.5,3,0.1,4,10.15,13.36,A
0.74,686,245,220.5,3.5,4,0.1,4,10.07,13.21,A
0.74,686,245,220.5,3.5,5,0.1,4,10.14,13.53,A
0.74,686,245,220.5,3.5,2,0.1,5,10.47,13.65,A
0.74,686,245,220.5,3.5,3,0.1,5,10.37,13.44,A
0.74,686,245,220.5,3.5,4,0.1,5,10.34,13.72,A
0.74,686,245,220.5,3.5,5,0.1,5,10.39,13.5,A
0.79,637,343,147,7,2,0.4,1,41.4,45.29,E
0.79,637,343,147,7,3,0.4,1,42.62,39.07,E
0.79,637,343,147,7,4,0.4,1,42.5,38.35,E
0.79,637,343,147,7,5,0.4,1,41.67,46.94,E
0.76,661.5,416.5,122.5,7,2,0.4,1,40.78,39.55,E
0.76,661.5,416.5,122.5,7,4,0.4,1,40.71,40.63,E
0.79,637,343,147,7,2,0.4,2,41.64,45.59,E
0.79,637,343,147,7,3,0.4,2,43.1,39.41,E
0.79,637,343,147,7,4,0.4,2,42.74,38.84,E
0.79,637,343,147,7,5,0.4,2,41.92,48.03,E
0.76,661.5,416.5,122.5,7,2,0.4,2,40.78,39.48,E
0.76,661.5,416.5,122.5,7,4,0.4,2,40.57,40.47,E
0.79,637,343,147,7,2,0.4,3,41.26,46.44,E
0.79,637,343,147,7,3,0.4,3,41.3,44.18,E
0.79,637,343,147,7,4,0.4,3,42.49,38.81,E
0.79,637,343,147,7,5,0.4,3,42.08,38.23,E
0.79,637,343,147,7,2,0.4,4,42.77,38.33,E
0.79,637,343,147,7,3,0.4,4,41.73,47.59,E
0.79,637,343,147,7,4,0.4,4,41.32,46.23,E
0.79,637,343,147,7,5,0.4,4,42.96,39.56,E
0.76,661.5,416.5,122.5,7,2,0.4,4,40.68,40.36,E
0.76,661.5,416.5,122.5,7,4,0.4,4,40.6,39.85,E
0.79,637,343,147,7,2,0.4,5,42.11,38.56,E
0.79,637,343,147,7,3,0.4,5,41.96,37.7,E
0.79,637,343,147,7,4,0.4,5,41.09,47.01,E
0.79,637,343,147,7,5,0.4,5,40.79,44.87,E
